Aria Speed,28908
Bard Speed,11757
Bolt Speed,15958
Cad Speed,29143
Dia Speed,20095
Dor Speed,19611
Dove Speed,13332
Eli Speed,26147
Mary Speed,27486
Mel Speed,27268
Monk Speed,33190
Noc Speed,31127
Tempo Speed,22524
Coda Speed,25231
Story Speed,152825
9char Speed,314154
13char Speed,482917
Aria Score,26566
Bard Score,388518
Bolt Score,35811
Cad Score,50124
Dia Score,42172
Dor Score,36570
Dove Score,9961
Eli Score,18263
Mary Score,30717
Mel Score,28043
Monk Score,16664
Noc Score,45219
Tempo Score,33970
Coda Score,12835
Story Score,127880
9char Score,497996
13char Score,474839
